S.No.,Name,Time
1,Bin laden,9.741395950317383
2,Bin laden,10.126049757003784
3,Bin laden,10.255076885223389
4,Bin laden,12.56362771987915
5,Bin laden,13.057254314422607
6,Bin laden,13.257408142089844
7,Bin laden,13.430959939956665
8,Bin laden,14.033265352249146
9,Bin laden,14.363698720932007
10,Bin laden,14.625142574310303
11,Bin laden,14.763810634613037
12,Bin laden,15.010396003723145
13,Bin laden,15.62006163597107
14,Bin laden,15.903815031051636
15,Bin laden,16.450746297836304
16,Bin laden,16.60966205596924
17,Bin laden,16.705659866333008
18,Bin laden,16.997573137283325
19,Bin laden,17.201372861862183
20,Bin laden,17.364279747009277
21,Bin laden,17.93238377571106
22,Bin laden,18.034363508224487
23,Bin laden,18.358895778656006
24,Bin laden,18.56253719329834
25,Bin laden,18.772736072540283
26,Bin laden,19.234201669692993
